Total duration and distance for all the activities,,,
,Month,Duration [days],Distance [km]
2019,MAY,1.749,
2019,JUNE,1.002,
2019,JULY,0,
2019,AUGUST,0.421,
2019,SEPTEMBER,0.608,
2019,OCTOBER,0,
2019,NOVEMBER,0,
2019,DECEMBER,0,
2020,JANUARY,0,
2020,FEBRUARY,0,
2020,MARCH,0,
2020,APRIL,0,
,,,
Travelled by train,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0.929,
2016,MARCH,3.359,
2016,MAY,1.365,
2016,JUNE,0.724,
2016,JULY,2.222,
2016,AUGUST,2.127,
2016,SEPTEMBER,10.514,
2016,OCTOBER,6.136,
2016,NOVEMBER,5.632,
2016,DECEMBER,12.879,
2017,JANUARY,13.308,
2017,FEBRUARY,12.79,
2017,MARCH,19.587,
2017,APRIL,11.93,
2017,MAY,18.353,
2017,JUNE,0,
2017,JULY,0,
2017,AUGUST,6.304,
2017,SEPTEMBER,16.822,
2017,OCTOBER,10.629,
2017,NOVEMBER,10.442,
2017,DECEMBER,8.642,
2018,JANUARY,0,
2018,FEBRUARY,4.326,
2018,MARCH,3.874,
2018,APRIL,5.743,
2018,MAY,11.128,
2018,JUNE,14.385,
2018,JULY,18.457,
2018,AUGUST,3.805,
2018,SEPTEMBER,16.187,
2018,OCTOBER,14.761,
2018,NOVEMBER,15.611,
2018,DECEMBER,8.585,
2019,JANUARY,9.447,
2019,FEBRUARY,24.474,
2019,MARCH,8.301,
2019,APRIL,10.155,
2019,MAY,4.474,
2019,JUNE,4.269,
2019,JULY,21.058,
2019,AUGUST,12.561,
2019,SEPTEMBER,14.402,
2019,OCTOBER,21.599,
2019,NOVEMBER,5.911,
2019,DECEMBER,4.936,
2020,JANUARY,14.391,
2020,FEBRUARY,28.127,
2020,MARCH,5.491,
2020,APRIL,0,
,,,
Travelled by subway,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0.588,
2016,JULY,0,
2016,AUGUST,0.107,
2016,SEPTEMBER,0.091,
2016,OCTOBER,0.13,
2016,NOVEMBER,0.766,
2016,DECEMBER,0.389,
2017,JANUARY,0.466,
2017,FEBRUARY,0.149,
2017,MARCH,2.017,
2017,APRIL,0.708,
2017,MAY,0,
2017,JUNE,0,
2017,JULY,0,
2017,AUGUST,0.071,
2017,SEPTEMBER,0,
2017,OCTOBER,0,
2017,NOVEMBER,0.171,
2017,DECEMBER,0,
2018,JANUARY,0,
2018,FEBRUARY,0,
2018,MARCH,0,
2018,APRIL,0,
2018,MAY,0,
2018,JUNE,0.49,
2018,JULY,0,
2018,AUGUST,0.259,
2018,SEPTEMBER,0.064,
2018,OCTOBER,0.063,
2018,NOVEMBER,0,
2018,DECEMBER,0,
2019,JANUARY,0,
2019,FEBRUARY,1.523,
2019,MARCH,0,
2019,APRIL,0,
2019,MAY,0.034,
2019,JUNE,0,
2019,JULY,0,
2019,AUGUST,0,
2019,SEPTEMBER,0,
2019,OCTOBER,0.093,
2019,NOVEMBER,0,
2019,DECEMBER,0.943,
2020,JANUARY,0.163,
2020,FEBRUARY,0,
2020,MARCH,0,
2020,APRIL,0,
,,,
walking,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,6.223,
2016,DECEMBER,18.57,
2017,JANUARY,12.123,
2017,FEBRUARY,23.813,
2017,MARCH,23.392,
2017,APRIL,41.563,
2017,MAY,61.936,
2017,JUNE,14.863,
2017,JULY,16.477,
2017,AUGUST,11.468,
2017,SEPTEMBER,8.598,
2017,OCTOBER,10.642,
2017,NOVEMBER,15.953,
2017,DECEMBER,6.929,
2018,JANUARY,3.444,
2018,FEBRUARY,33.973,
2018,MARCH,11.627,
2018,APRIL,4.139,
2018,MAY,18.363,
2018,JUNE,7.445,
2018,JULY,6.707,
2018,AUGUST,5.578,
2018,SEPTEMBER,7.743,
2018,OCTOBER,8.224,
2018,NOVEMBER,3.37,
2018,DECEMBER,9.335,
2019,JANUARY,2.496,
2019,FEBRUARY,4.626,
2019,MARCH,4.785,
2019,APRIL,3.412,
2019,MAY,4.376,
2019,JUNE,5.558,
2019,JULY,7.141,
2019,AUGUST,6.096,
2019,SEPTEMBER,22.432,
2019,OCTOBER,7.259,
2019,NOVEMBER,1.722,
2019,DECEMBER,5.129,
2020,JANUARY,3.981,
2020,FEBRUARY,9.171,
2020,MARCH,0.936,
2020,APRIL,0.782,
,,,
Travelled by bus,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,2.056,
2016,MAY,2.821,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0.985,
2016,SEPTEMBER,2.278,
2016,OCTOBER,0.22,
2016,NOVEMBER,2.951,
2016,DECEMBER,3.394,
2017,JANUARY,10.657,
2017,FEBRUARY,3.473,
2017,MARCH,5.95,
2017,APRIL,4.894,
2017,MAY,3.679,
2017,JUNE,0.471,
2017,JULY,0,
2017,AUGUST,3.657,
2017,SEPTEMBER,1.036,
2017,OCTOBER,1.738,
2017,NOVEMBER,2.934,
2017,DECEMBER,2.715,
2018,JANUARY,0.553,
2018,FEBRUARY,0.525,
2018,MARCH,0.275,
2018,APRIL,0,
2018,MAY,0.401,
2018,JUNE,0.864,
2018,JULY,3.55,
2018,AUGUST,0.069,
2018,SEPTEMBER,1.743,
2018,OCTOBER,4.544,
2018,NOVEMBER,0.601,
2018,DECEMBER,0.313,
2019,JANUARY,2.135,
2019,FEBRUARY,0.354,
2019,MARCH,0,
2019,APRIL,3.659,
2019,MAY,0,
2019,JUNE,0,
2019,JULY,0.367,
2019,AUGUST,0.602,
2019,SEPTEMBER,0.417,
2019,OCTOBER,3.033,
2019,NOVEMBER,4.533,
2019,DECEMBER,2.527,
2020,JANUARY,4.226,
2020,FEBRUARY,4.178,
2020,MARCH,1.134,
2020,APRIL,0,
